Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"K Shah, D Lathiya, N Lukhi, K Parmar, ...","A systematic review of decentralized finance protocols",2023,"International Journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2666603023000179","https://scholar.google.com/scholar?cites=11378378703879846817&as_sdt=2005&sciodt=0,5&hl=en",11,"2024-07-30 23:13:48","HTML","","","",,,,,12,12.00,2,5,1,"… Decentralized finance (DeFi) has emerged as a promising solution to revolutionize traditional finance by leveraging blockchain technology to create a decentralized and transparent …","https://www.sciencedirect.com/science/article/pii/S2666603023000179","https://scholar.google.com/scholar?q=related:obugXCUf6J0J:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
154,"I Makarov, A Schoar","Cryptocurrencies and decentralized finance (DeFi)",2022,"Brookings Papers on Economic Activity","muse.jhu.edu","https://muse.jhu.edu/pub/1/article/872595/summary","https://scholar.google.com/scholar?cites=1859188980681269250&as_sdt=2005&sciodt=0,5&hl=en",12,"2024-07-30 23:13:48","","","","",,,,,154,77.00,77,2,2,"… and therefore exist also in DeFi solutions but might be … Advocates of DeFi solutions argue that financial services are … arise in a system of decentralized finance and propose some …","https://www.nber.org/system/files/working_papers/w30006/w30006.pdf","https://scholar.google.com/scholar?q=related:AuDTC4cqzRkJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
18,"M Bartoletti, JH Chiang, AL Lafuente","Towards a theory of decentralized finance",2021,"… , DeFi, VOTING, and WTSC, Virtual …","Springer","https://link.springer.com/chapter/10.1007/978-3-662-63958-0_20","https://scholar.google.com/scholar?cites=2773312169623175679&as_sdt=2005&sciodt=0,5&hl=en",13,"2024-07-30 23:13:48","","10.1007/978-3-662-63958-0_20","","",,,,,18,6.00,6,3,3,"… Prior foundational research in the domain of DeFi … DeFi applications, we have initiated our line of research towards a theory of DeFi by focusing on the identification of archetypal DeFi …","https://orbit.dtu.dk/files/262630376/Towards_a_Theory_of_Decentralized_Finance.pdf","https://scholar.google.com/scholar?q=related:_0GogbnIfCYJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
38,"S Kitzler, F Victor, P Saggese, B Haslhofer","Disentangling decentralized finance (DeFi) compositions",2023,"ACM Transactions on the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3532857","https://scholar.google.com/scholar?cites=7274418392808890153&as_sdt=2005&sciodt=0,5&hl=en",14,"2024-07-30 23:13:48","","10.1145/3532857","","",,,,,38,38.00,10,4,1,"… of Decentralized Finance (DeFi) protocols, which aim to disrupt traditional finance and offer services on top of distributed ledgers, such as Ethereum. Understanding DeFi compositions …","https://dl.acm.org/doi/pdf/10.1145/3532857","https://scholar.google.com/scholar?q=related:KR_xmvzs82QJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
21,"PP Momtaz","How Efficient is Decentralized Finance (DeFi)?",2022,"Available at SSRN 4063670","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4287252","https://scholar.google.com/scholar?cites=17572745569213383581&as_sdt=2005&sciodt=0,5&hl=en",15,"2024-07-30 23:13:48","","","","",,,,,21,10.50,21,1,2,"… Decentralized Finance (DeFi) markets may require a substantial degree of centralization to … in a decentralized market. Centralization reduces trading delays and improves decentralized …","https://www.researchgate.net/profile/Paul-Momtaz/publication/359551946_How_Efficient_is_Decentralized_Finance_DeFi/links/624acb2757084c718b84f0e0/How-Efficient-is-Decentralized-Finance-DeFi.pdf","https://scholar.google.com/scholar?q=related:nYNIpf3u3vMJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
28,"AD Popescu","Transitions and concepts within decentralized finance (Defi) Space",2020,"Research Terminals in the social sciences","cilconference.ro","http://cilconference.ro/wp-content/uploads/2020/09/cil_2020_research_terminals.pdf#page=40","https://scholar.google.com/scholar?cites=18072866166848027848&as_sdt=2005&sciodt=0,5&hl=en",16,"2024-07-30 23:13:48","PDF","","","",,,,,28,7.00,28,1,4,"… of decentralized versions of mainstream financial products. The scope of Decentralized Finance is to … within DeFi from the traditional finance world, highlighting the advantages and new …","http://cilconference.ro/wp-content/uploads/2020/09/cil_2020_research_terminals.pdf#page=40","https://scholar.google.com/scholar?q=related:yPwmTAa4z_oJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
37,"F Carapella, N Swem","Decentralized finance (DeFi): Transformative potential &associated risks",2022,"","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4438745","https://scholar.google.com/scholar?cites=9153687626320604970&as_sdt=2005&sciodt=0,5&hl=en",17,"2024-07-30 23:13:48","","","","",,,,,37,18.50,19,2,2,"… Decentralized finance (DeFi) refers to a set of newly emerging financial products and services that operate on decentralized platforms using blockchains to record and share data. DeFi …","https://www.federalreserve.gov/econres/feds/files/2022057pap.pdf","https://scholar.google.com/scholar?q=related:Km-612VuCH8J:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
692,"F Schär","Decentralized finance: On blockchain-and smart contract-based financial markets",2021,"FRB of St. Louis Review","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3843844","https://scholar.google.com/scholar?cites=13347404977253122569&as_sdt=2005&sciodt=0,5&hl=en",18,"2024-07-30 23:13:48","","","","",,,,,692,230.67,692,1,3,"… term decentralized finance (DeFi) refers to an alternative financial infrastructure built on top of the Ethereum blockchain. DeFi … and potential risks of the DeFi ecosystem. I propose a multi-…","https://edoc.unibas.ch/86500/1/decentralized-finance-on-blockchain-and-smart-contract-based-financial-markets.pdf","https://scholar.google.com/scholar?q=related:CQJ09huCO7kJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
34,"S Dos Santos, J Singh, RK Thulasiram, ...","A new era of blockchain-powered decentralized finance (DeFi)-a review",2022,"2022 IEEE 46th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9842637/","https://scholar.google.com/scholar?cites=18039128447918311931&as_sdt=2005&sciodt=0,5&hl=en",19,"2024-07-30 23:13:48","","","","",,,,,34,17.00,9,4,2,"… decentralized applications using an underlying blockchain as core consensus layer. The concept of decentralized … was the introduction of decentralized finance (DeFi) solutions, which …","","https://scholar.google.com/scholar?q=related:-4nQe7_bV_oJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
96,"UW Chohan","Decentralized finance (DeFi): An emergent alternative financial architecture",2021,"Critical Blockchain Research Initiative (CBRI) …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3791921","https://scholar.google.com/scholar?cites=5228263247500683340&as_sdt=2005&sciodt=0,5&hl=en",20,"2024-07-30 23:13:48","","","","",,,,,96,32.00,96,1,3,"… claims made in favor of Decentralized Finance (DeFi), as well as … For the purposes of definition, DeFi can be described as an … As such, DeFi purports to disintermediate​financial activity …","","https://scholar.google.com/scholar?q=related:TCiCG7mFjkgJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
15,"J Scharfman, J Scharfman","Decentralized finance (DeFi) compliance and operations",2022,"… : Digital Assets, Blockchain and DeFi","Springer","https://link.springer.com/chapter/10.1007/978-3-030-88000-2_9","https://scholar.google.com/scholar?cites=16478817595857710989&as_sdt=2005&sciodt=0,5&hl=en",21,"2024-07-30 23:13:48","","10.1007/978-3-030-88000-2_9","","",,,,,15,7.50,8,2,2,"… This chapter provides an introduction to decentralized finance (DeFi). It begins with a … centralized finance (CeFi) and DeFi. Next, we discuss trends in centralized decentralized finance (…","","https://scholar.google.com/scholar?q=related:jS-Of0uFsOQJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
10,"PP Momtaz","Is decentralized finance (DeFi) efficient?",2022,"Available at SSRN 4095397","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4287249","https://scholar.google.com/scholar?cites=7959844913113997745&as_sdt=2005&sciodt=0,5&hl=en",22,"2024-07-30 23:13:48","","","","",,,,,10,5.00,10,1,2,"… a decentralized market. Centralization reduces trading delays and improves decentralized … Thus, the principal implication of our study is that decentralized markets for startups may not …","https://w3rl.com/documents/202201DeFi%20Efficiency.pdf","https://scholar.google.com/scholar?q=related:sSFcgcYMd24J:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
9,"R Ozcan","Decentralized finance",2021,"Financial Ecosystem and Strategy in the Digital Era …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-72624-9_4","https://scholar.google.com/scholar?cites=7184370217298155098&as_sdt=2005&sciodt=0,5&hl=en",23,"2024-07-30 23:13:48","","10.1007/978-3-030-72624-9_4","","",,,,,9,3.00,9,1,3,"… of—so called—decentralized finance (DeFi) through an exploration of blockchain technology in the field of finance. The focus is on the definition of decentralized finance, its elements, …","https://www.academia.edu/download/85884057/978-3-030-72624-9_4.pdf","https://scholar.google.com/scholar?q=related:Wtbz8KUCtGMJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
11,"L Anker-Sørensen, DA Zetzsche","From Centralized to Decentralized Finance: The Issue of'Fake-DeFi'",2021,"Available at SSRN 3978815","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3978815","https://scholar.google.com/scholar?cites=16249915103171859953&as_sdt=2005&sciodt=0,5&hl=en",24,"2024-07-30 23:13:48","","","","",,,,,11,3.67,6,2,3,"… definition of decentralized finance as well as some contextual background information on DeFi. In Pt. III we summarize challenges acknowledged for decentralized finance discussed so …","","https://scholar.google.com/scholar?q=related:8VXQyrBLg-EJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
7,"KF Michalikova, A Poliakova","Decentralized finance",2021,"SHS web of conferences","shs-conferences.org","https://www.shs-conferences.org/articles/shsconf/abs/2021/40/shsconf_glob2021_03008/shsconf_glob2021_03008.html","https://scholar.google.com/scholar?cites=4824567082503285465&as_sdt=2005&sciodt=0,5&hl=en",25,"2024-07-30 23:13:48","","","","",,,,,7,2.33,4,2,3,"… is a system by which financial products become available on a public decentralized … to use DeFi.Purpose of the article: The aim of the contribution is more specifically, DeFi refers to a …","https://www.shs-conferences.org/articles/shsconf/pdf/2021/40/shsconf_glob2021_03008.pdf","https://scholar.google.com/scholar?q=related:2aqmKzNO9EIJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
121,"G Caldarelli, J Ellul","The blockchain oracle problem in decentralized finance—a multivocal approach",2021,"Applied Sciences","mdpi.com","https://www.mdpi.com/2076-3417/11/16/7572","https://scholar.google.com/scholar?cites=9323344301021776237&as_sdt=2005&sciodt=0,5&hl=en",26,"2024-07-30 23:13:48","HTML","","","",,,,,121,40.33,61,2,3,"… This paper provided an overview of the role of oracles in Decentralized Finance and the issues related to their usage. Depending on the applications, we present the main types of …","https://www.mdpi.com/2076-3417/11/16/7572","https://scholar.google.com/scholar?q=related:bckQnT4sY4EJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
56,"E Meyer, IM Welpe, PG Sandner","Decentralized finance—A systematic literature review and research directions",2022,"","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4016497","https://scholar.google.com/scholar?cites=11975913479346013316&as_sdt=2005&sciodt=0,5&hl=en",27,"2024-07-30 23:13:48","","","","",,,,,56,28.00,19,3,2,"… for ‘Decentralized Finance (DeFi)’—a finance ecosystem … capitalization of the main DeFi blockchain Ethereum with $530bn… the Total Value Locked in DeFi applications—growing by 26 …","https://mediatum.ub.tum.de/doc/1696613/document.pdf","https://scholar.google.com/scholar?q=related:hEQ7vdv9MqYJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
19,"B Sriman, SG Kumar","Decentralized finance (defi): the future of finance and defi application for Ethereum blockchain based finance market",2022,"2022 International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9752657/","https://scholar.google.com/scholar?cites=4823684812631187733&as_sdt=2005&sciodt=0,5&hl=en",28,"2024-07-30 23:13:48","","","","",,,,,19,9.50,10,2,2,"… Defi is known to be as Decentralized Finance and also called open finance. It is totally … , lending and trading built using decentralized infrastructure like public blockchain and smart …","","https://scholar.google.com/scholar?q=related:FSFUtccr8UIJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
113,"L Zhou, X Xiong, J Ernstberger, ...","Sok: Decentralized finance (defi) attacks",2023,"… IEEE Symposium on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10179435/","https://scholar.google.com/scholar?cites=15516575366407912671&as_sdt=2005&sciodt=0,5&hl=en",29,"2024-07-30 23:13:48","","","","",,,,,113,113.00,28,4,1,"… , and compare DeFi incidents? How can we learn from past attacks to strengthen DeFi security? … frame to systematically evaluate and compare DeFi incidents, including both attacks and …","https://arxiv.org/pdf/2208.13035","https://scholar.google.com/scholar?q=related:3_xR3RXzVdcJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
9,"J Kim, S Kim","A survey of decentralized finance (defi) based on blockchain",2021,"Journal of the Korea Society of Computer and …","koreascience.kr","https://koreascience.kr/article/JAKO202110463369857.page","https://scholar.google.com/scholar?cites=13191118006747280946&as_sdt=2005&sciodt=0,5&hl=en",30,"2024-07-30 23:13:48","","","","",,,,,9,3.00,5,2,3,"… Decentralized Finance (DeFi). This paper was prepared to understand the overall technical understanding of DeFi … overall DeFi are explained, and then the representative DeFi services …","https://koreascience.kr/article/JAKO202110463369857.pdf","https://scholar.google.com/scholar?q=related:MjZuBvBDELcJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
45,"Y Wang","Automated market makers for decentralized finance (defi)",2020,"arXiv preprint arXiv:2009.01676","arxiv.org","https://arxiv.org/abs/2009.01676","https://scholar.google.com/scholar?cites=3439828241755156535&as_sdt=2005&sciodt=0,5&hl=en",31,"2024-07-30 23:13:48","","","","",,,,,45,11.25,45,1,4,"… It is shown that though LMSR may not be a good model for Decentralized Finance (DeFi) … In certain DeFi applications, it is preferred to have computationally efficient cost functions …","https://arxiv.org/pdf/2009.01676","https://scholar.google.com/scholar?q=related:NzAslo-5vC8J:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
3,"C Calcaterra, WA Kaal","Decentralized Finance (DeFi)",2021,"… -TECHNOLOGY'S IMPACT ON …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3782216","https://scholar.google.com/scholar?cites=4690837061074652856&as_sdt=2005&sciodt=0,5&hl=en",32,"2024-07-30 23:13:48","","","","",,,,,3,1.00,2,2,3,"… finance in the evolution of decentralized systems. In the nlnls, the market for DeFi has started to take off but fully decentralized DeFi … Because the decentralized economy is still missing …","","https://scholar.google.com/scholar?q=related:uI6XNHQzGUEJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
7,"O Ryabov, A Golubev, N Goncharova","Decentralized Finance (DeFi) as the basis for the transformation of the financial sector of the future",2021,"Proceedings of the 3rd …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3527049.3527080","https://scholar.google.com/scholar?cites=14179460302170803590&as_sdt=2005&sciodt=0,5&hl=en",33,"2024-07-30 23:13:48","","10.1145/3527049.3527080","","",,,,,7,2.33,2,3,3,"… study, regulation of “decentralized finance” (DeFi) promotes effective central bank regu… , DeFi actually calls for regulation to achieve its primary goal of decentralization. Moreover, DeFi …","","https://scholar.google.com/scholar?q=related:hs2k0QSQx8QJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
80,"SA Abdulhakeem, Q Hu","Powered by Blockchain technology, DeFi (Decentralized Finance) strives to increase financial inclusion of the unbanked by reshaping the world financial …",2021,"Modern Economy","scirp.org","https://www.scirp.org/html/1-7202619_106546.htm","https://scholar.google.com/scholar?cites=10126314781364565112&as_sdt=2005&sciodt=0,5&hl=en",34,"2024-07-30 23:13:48","HTML","","","",,,,,80,26.67,40,2,3,"… world of opportunities in life, including finance. Even with the presence of … decentralized finance (DeFi). This paper provides an overview of blockchain technology, discussing the DeFi …","https://www.scirp.org/html/1-7202619_106546.htm","https://scholar.google.com/scholar?q=related:eLQFY6Tlh4wJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
10,"V Gramlich, M Principato, B Schellinger, ...","Decentralized Finance (DeFi): Foundations, Applications, Potentials, and Challenges",2022,"… and Challenges (July …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4535868","https://scholar.google.com/scholar?cites=16251918286811138902&as_sdt=2005&sciodt=0,5&hl=en",35,"2024-07-30 23:13:48","","","","",,,,,10,5.00,3,4,2,"… is often referred to as decentralized finance (DeFi). DeFi integrates not only basic payment … , facilitate automation and highly customizable DeFi applications. Thus, smart contracts …","","https://scholar.google.com/scholar?q=related:VosNVJNpiuEJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
1,"CL Read","Decentralized finance",2022,"The Bitcoin Dilemma: Weighing the Economic and …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-09138-4_18","https://scholar.google.com/scholar?cites=12378058129750991783&as_sdt=2005&sciodt=0,5&hl=en",36,"2024-07-30 23:13:48","","10.1007/978-3-031-09138-4_18","","",,,,,1,0.50,1,1,2,"… Such decentralized finance (DeFi) has the potential to … crypto network to offer a decentralized opportunity to engage in … can be secured through decentralized finance, without the need …","","https://scholar.google.com/scholar?q=related:p6PxiEmyx6sJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
1,"DE Ion","Decentralized Finance Analysis",2021,"","essay.utwente.nl","http://essay.utwente.nl/88900/","https://scholar.google.com/scholar?cites=8842616123337700261&as_sdt=2005&sciodt=0,5&hl=en",37,"2024-07-30 23:13:48","","","","",,,,,1,0.33,1,1,3,"… overview of the existing DeFi products and analyze its advantages over traditional finance. Even though this part will not be discussed in this paper, DeFi presents a range of risks and …","http://essay.utwente.nl/88900/1/ION_MA_EEMCS_2.pdf","https://scholar.google.com/scholar?q=related:pXOvlINIt3oJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
4,"TK Birrer, D Amstutz, P Wenger","Decentralized Finance",2023,"","Springer","https://link.springer.com/content/pdf/10.1007/978-3-658-39872-9.pdf","https://scholar.google.com/scholar?cites=1094794420458268241&as_sdt=2005&sciodt=0,5&hl=en",38,"2024-07-30 23:13:48","BOOK","10.1007/978-3-658-39872-9","","",,,,,4,4.00,1,3,1,"… Toolkit for Getting Started: This chapter intends to equip the reader with the practical toolkit to get his or her bankless DeFi journey started. 5. Make use of Decentralized Finance: The …","","https://scholar.google.com/scholar?q=related:UaZ-lbl9MQ8J:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
